loan_id,installment_id,installment_number,installment_duedate,repaid_date,capital_due,capital_paid,interests_paid
loan_8035682,8z78060i7i6xhx55017i725h5z4y5450,1,2022-03-31,2022-03-28,168.63,168.63,0.0
loan_8035682,8z78060i7i6xhx55017i725h5z4y5453,4,2022-05-16,2022-05-11,168.63,168.63,0.0
loan_8035682,8z78060i7i6xhx55017i725h5z4y5452,3,2022-05-02,2022-04-29,168.63,168.63,0.0
loan_8035682,8z78060i7i6xhx55017i725h5z4y5454,5,2022-05-31,2022-05-24,168.63,168.63,0.0
loan_8035682,8z78060i7i6xhx55017i725h5z4y5451,2,2022-04-18,2022-04-09,168.63,168.63,0.0
loan_8035682,8z78060i7i6xhx55017i725h5z4x5455,6,2022-06-15,2022-06-12,167.17,167.17,0.0
loan_0087672,8z7809g37ii9gigz017iigz9zgi0383x,1,2022-04-18,2022-04-05,365.0,365.0,0.0
loan_0087672,8z7809g37ii9gigz017iigz9zgi0383i,2,2022-05-02,2022-06-10,353.32,353.32,58.0
loan_0087672,8z7809g37ii9gigz017iigz9zgi03841,4,2022-05-31,2022-06-10,339.5595,339.5595,58.0
loan_0087672,8z7809g37ii9gigz017iigz9zgi03840,3,2022-05-16,2022-06-10,353.32,353.32,58.0
loan_9281012,8z780h3z7xx071g7017xx26gy8756z99,7,2022-05-31,2022-05-31,170.37,170.3747,12.61
loan_9281012,8z780h3z7xx071g7017xx26gy8756z97,5,2022-05-02,2022-05-02,162.95,162.9506,22.78
loan_9281012,8z780h3z7xx071g7017xx26gy8796z9z,8,2022-06-15,2022-06-15,182.33,182.3321,6.52
loan_9281012,8z780h3z7xx071g7017xx26gy8756z98,6,2022-05-16,2022-05-16,166.92,166.9218,17.34
loan_9281012,8z780h3z7xx071g7017xx26gy8536z93,1,2022-02-28,2022-02-28,139.57,139.5687,54.81
loan_9281012,8z780h3z7xx071g7017xx26gy8756z96,4,2022-04-18,2022-04-18,153.39,153.3949,35.87
loan_9281012,8z780h3z7xx071g7017xx26gy8536z94,2,2022-03-15,2022-03-15,149.88,149.8836,40.68
loan_9281012,8z780h3z7xx071g7017xx26gy8756z95,3,2022-03-31,2022-03-31,152.07,152.0736,37.68
loan_0792274,8z7805y27ii49z31017ii828iih57h42,2,2022-05-02,2022-04-28,143.81,143.81,0.0
loan_0792274,8z7805y27ii49z31017ii828iih57h43,3,2022-05-16,2022-05-12,143.81,143.81,0.0
loan_0792274,8z7805y27ii49z31017ii828iih57h44,4,2022-05-31,2022-05-25,142.35,142.35,0.0
loan_0792274,8z7805y27ii49z31017ii828iih57h41,1,2022-04-18,2022-04-16,143.81,143.81,0.0
loan_7787496,8z7820y17hzxh7gz017hg1ihx386739y,2,2022-01-17,2022-01-14,410.99,410.99,0.0
loan_7787496,8z7820y17hzxh7gz017hg1ihx386739x,4,2022-02-15,,0.0,0.0,0.0
loan_7787496,8z7820y17hzxh7gz017hg1ihx386739g,1,2021-12-31,2021-12-21,1168.73,1168.73,0.0
