loan_id,installment_id,installment_number,installment_duedate,repaid_date,capital_due,capital_paid,interests_paid
loan_8035682,8z78060i7i6xhx55017i725h5z4y5450,1,31/03/2022,28/03/2022,168.63,168.63,0
loan_8035682,8z78060i7i6xhx55017i725h5z4y5453,4,16/05/2022,11/05/2022,168.63,168.63,0
loan_8035682,8z78060i7i6xhx55017i725h5z4y5452,3,02/05/2022,29/04/2022,168.63,168.63,0
loan_8035682,8z78060i7i6xhx55017i725h5z4y5454,5,31/05/2022,24/05/2022,168.63,168.63,0
loan_8035682,8z78060i7i6xhx55017i725h5z4y5451,2,18/04/2022,09/04/2022,168.63,168.63,0
loan_8035682,8z78060i7i6xhx55017i725h5z4x5455,6,15/06/2022,12/06/2022,167.17,167.17,0
loan_0087672,8z7809g37ii9gigz017iigz9zgi0383x,1,18/04/2022,05/04/2022,365.00,365,0
loan_0087672,8z7809g37ii9gigz017iigz9zgi0383i,2,02/05/2022,10/06/2022,353.32,353.32,58
loan_0087672,8z7809g37ii9gigz017iigz9zgi03841,4,31/05/2022,10/06/2022,339.55949999999996,339.55949999999996,58
loan_0087672,8z7809g37ii9gigz017iigz9zgi03840,3,16/05/2022,10/06/2022,353.32,353.32,58
loan_9281012,8z780h3z7xx071g7017xx26gy8756z99,7,31/05/2022,31/05/2022,170.37,170.3747,12.61
loan_9281012,8z780h3z7xx071g7017xx26gy8756z97,5,02/05/2022,02/05/2022,162.95,162.9506,22.78
loan_9281012,8z780h3z7xx071g7017xx26gy8796z9z,8,15/06/2022,15/06/2022,182.33,182.3321,6.52
loan_9281012,8z780h3z7xx071g7017xx26gy8756z98,6,16/05/2022,16/05/2022,166.92,166.9218,17.34
loan_9281012,8z780h3z7xx071g7017xx26gy8536z93,1,28/02/2022,28/02/2022,139.57,139.5687,54.81
loan_9281012,8z780h3z7xx071g7017xx26gy8756z96,4,18/04/2022,18/04/2022,153.39,153.3949,35.87
loan_9281012,8z780h3z7xx071g7017xx26gy8536z94,2,15/03/2022,15/03/2022,149.88,149.8836,40.68
loan_9281012,8z780h3z7xx071g7017xx26gy8756z95,3,31/03/2022,31/03/2022,152.07,152.0736,37.68
loan_0792274,8z7805y27ii49z31017ii828iih57h42,2,02/05/2022,28/04/2022,143.81,143.81,0
loan_0792274,8z7805y27ii49z31017ii828iih57h43,3,16/05/2022,12/05/2022,143.81,143.81,0
loan_0792274,8z7805y27ii49z31017ii828iih57h44,4,31/05/2022,25/05/2022,142.35,142.35,0
loan_0792274,8z7805y27ii49z31017ii828iih57h41,1,18/04/2022,16/04/2022,143.81,143.81,0
loan_7787496,8z7820y17hzxh7gz017hg1ihx386739y,2,17/01/2022,14/01/2022,410.99,410.99,0
loan_7787496,8z7820y17hzxh7gz017hg1ihx386739x,4,15/02/2022,NA,0.00,0,0
loan_7787496,8z7820y17hzxh7gz017hg1ihx386739g,1,31/12/2021,21/12/2021,1168.73,1168.73,0
loan_7787496,8z7820y17hzxh7gz017hg1ihx386739h,3,31/01/2022,29/01/2022,62.78,62.78,0
loan_7513134,8z782zhi7x013yx7017x040923745139,1,17/01/2022,16/01/2022,327.03999999999996,327.03999999999996,0
loan_4088148,8z780z437y8x4190017y90y13z9x57hy,7,31/01/2022,03/02/2022,296.38,296.38,58
loan_4088148,8z780z437y8x4190017y90y13z9x57hz,5,31/12/2021,01/01/2022,300.76,300.76,0
loan_4088148,8z780z437y8x4190017y90y13z8257h7,2,16/11/2021,16/11/2021,300.76,300.76,0
loan_4088148,8z780z437y8x4190017y90y13z9x57hg,6,17/01/2022,16/01/2022,601.52,601.52,0
loan_4088148,8z780z437y8x4190017y90y13z8257h9,4,15/12/2021,15/12/2021,300.76,300.76,0
loan_4088148,8z780z437y8x4190017y90y13z8257h6,1,01/11/2021,31/10/2021,300.76,300.76,0
loan_4088148,8z780z437y8x4190017y90y13z8257h8,3,30/11/2021,01/12/2021,300.76,300.76,0
loan_4088148,8z780z437y8x4190017y90y13z9x57hh,8,15/02/2022,NA,0.00,0,0
loan_9057034,8z7825117y7xy5z8017y7xigx0434z38,1,01/11/2021,20/10/2021,740.22,740.22,0
loan_9057034,8z7825117y7xy5z8017y7xigx0434z3g,4,15/12/2021,12/12/2021,740.22,740.22,0
loan_9057034,8z7825117y7xy5z8017y7xigx0434z3z,3,30/11/2021,29/11/2021,740.22,740.22,0
loan_9057034,8z7825117y7xy5z8017y7xigx0434z3y,5,31/12/2021,24/12/2021,740.22,740.22,0
loan_9057034,8z7825117y7xy5z8017y7xigx0474z3h,6,17/01/2022,15/01/2022,736.72,736.716,0
loan_9057034,8z7825117y7xy5z8017y7xigx0434z39,2,16/11/2021,14/11/2021,740.22,740.22,0
loan_4787282,8z7829577x916x73017x91ix69811y17,2,28/02/2022,28/02/2022,588.38,588.38,0
loan_4787282,8z7829577x916x73017x91ix69811y18,3,15/03/2022,14/03/2022,588.38,588.38,0
loan_4787282,8z7829577x916x73017x91ix69811y1z,5,18/04/2022,17/04/2022,588.38,588.38,0
loan_4787282,8z7829577x916x73017x91ix69811y19,4,31/03/2022,31/03/2022,588.38,588.38,0
loan_4787282,8z7829577x916x73017x91ix69811y16,1,15/02/2022,14/02/2022,588.38,588.38,0
loan_4787282,8z7829577x916x73017x91ix69841y1g,6,02/05/2022,03/05/2022,584.7081000000001,584.7081000000001,0
loan_2009178,8z782896805g8iy401806867z2542201,1,16/05/2022,11/05/2022,2190.00,2190,0
loan_2009178,8z782896805g8iy401806867z2572206,6,01/08/2022,NA,0.00,0,0
loan_2009178,8z782896805g8iy401806867z2542203,3,15/06/2022,20/06/2022,605.90,605.9,58
loan_2009178,8z782896805g8iy401806867z2542205,5,15/07/2022,NA,0.00,0,0
loan_2009178,8z782896805g8iy401806867z2542204,4,30/06/2022,30/06/2022,229.53,229.5266,0
loan_2009178,8z782896805g8iy401806867z2542202,2,31/05/2022,01/06/2022,605.90,605.9,0
loan_0310700,8z78037g7xx45492017xx6gi36ii2z6i,3,31/03/2022,24/03/2022,865.78,865.78,0
loan_0310700,8z78037g7xx45492017xx6gi36ii2z72,6,16/05/2022,NA,0.00,0,0
loan_0310700,8z78037g7xx45492017xx6gi36ii2z71,5,02/05/2022,NA,0.00,0,0
loan_0310700,8z78037g7xx45492017xx6gi36ii2z6x,2,15/03/2022,10/03/2022,432.89,432.89,0
loan_0310700,8z78037g7xx45492017xx6gi36x22z6h,1,28/02/2022,25/02/2022,432.89,432.89,0
loan_0310700,8z78037g7xx45492017xx6gi36ii2z70,4,18/04/2022,07/04/2022,861.9839999999999,861.9839999999999,0
loan_6027298,8z7806y87ii49982017ii6i2h4056yg3,2,02/05/2022,NA,780.9977999999999,0,0
loan_6027298,8z7806y87ii49982017ii6i2h3i36yg2,1,18/04/2022,NA,762.43,0,0
loan_6027298,8z7806y87ii49982017ii6i2h4076yg8,7,15/07/2022,NA,877.41,0,0
loan_6027298,8z7806y87ii49982017ii6i2h4056yg5,4,31/05/2022,NA,812.14,0,0
loan_6027298,8z7806y87ii49982017ii6i2h4056yg6,5,15/06/2022,NA,833.34,0,0
loan_6027298,8z7806y87ii49982017ii6i2h4056yg7,6,30/06/2022,NA,855.0854999999999,0,0
loan_6027298,8z7806y87ii49982017ii6i2h4056yg4,3,16/05/2022,NA,800.03,0,0
loan_6027298,8z7806y87ii49982017ii6i2h4076yg9,8,01/08/2022,NA,858.79,0,0
loan_8964782,8z782h1h7i551x96017i5888i4z3359x,6,31/05/2022,23/05/2022,54.75,54.75,0
